age_A,age_B,height_A,height_B,reach_A,reach_B,stance_A,stance_B,weight_A,weight_B,won_A,won_B,lost_A,lost_B,drawn_A,drawn_B,kos_A,kos_B,result,decision,judge1_A,judge1_B,judge2_A,judge2_B,judge3_A,judge3_B
22,36,178,175,188,,southpaw,southpaw,159,158,5,3,0,8,0,3,2,3,win_A,UD,40,36,40,36,40,36
22,27,178,,188,,southpaw,southpaw,,157,4,1,0,3,0,0,1,0,win_A,TKO,,,,,,
21,30,178,,188,,southpaw,southpaw,156,,3,1,0,0,0,1,1,0,win_A,UD,,,,,,
21,27,178,,188,,southpaw,southpaw,,154,2,1,0,0,0,1,1,0,win_A,UD,40,36,40,36,40,36
21,,178,,188,,southpaw,southpaw,,156,1,0,0,0,0,0,1,0,win_A,UD,40,36,40,36,40,36
21,18,178,178,188,,southpaw,southpaw,,,0,0,0,0,0,0,0,0,win_A,TKO,,,,,,
,30,,167,,,orthodox,orthodox,123,123,13,18,2,17,2,1,5,10,win_A,TKO,,,,,,
31,,157,,160,,orthodox,orthodox,,,36,12,5,2,0,2,25,5,win_B,UD,91,99,92,98,95,97
,28,,160,,152,orthodox,orthodox,,,11,41,2,7,2,1,5,29,win_A,UD,96,94,97,94,98,94
29,,163,,,,southpaw,southpaw,,,9,11,0,1,0,2,6,5,win_A,KO,,,,,,
,27,,,,,orthodox,orthodox,,,10,15,1,7,2,0,5,7,win_A,TD,,,,,,
,29,,,,,orthodox,orthodox,,,9,19,1,26,2,2,4,9,win_A,KO,,,,,,
,28,,159,,166,orthodox,orthodox,,,9,26,0,2,2,0,4,18,win_B,KO,,,,,,
,,,,,,orthodox,orthodox,,,8,13,0,5,2,1,3,7,win_A,TKO,,,,,,
,35,,163,,168,orthodox,orthodox,112,112,7,38,0,28,2,3,2,21,win_A,TKO,,,,,,
,28,,155,,,orthodox,orthodox,,,6,5,0,6,2,1,2,1,win_A,UD,,,,,,
,25,,,,,orthodox,orthodox,116,118,5,7,0,8,2,0,2,1,win_A,SD,,,,,,
,38,,159,,,orthodox,orthodox,,,4,2,0,4,2,0,1,1,win_A,KO,,,,,,
,,,,,,southpaw,southpaw,,115,8,4,0,0,0,1,6,1,draw,PTS,,,,,,
,,,,,,,,108,108,0,3,0,0,0,1,0,1,win_B,UD,,,,,,
,,,,,,orthodox,orthodox,,,2,2,0,0,1,1,1,2,win_A,UD,,,,,,
,21,,169,,,orthodox,orthodox,,,1,1,0,2,1,0,1,1,win_A,PTS,,,,,,
,,,,,,orthodox,orthodox,119,,0,0,0,0,1,0,0,0,win_A,KO,,,,,,
18,,175,,,,orthodox,orthodox,,,1,0,0,0,0,0,1,0,draw,PTS,,,,,,
34,26,173,170,175,183,orthodox,orthodox,,,35,17,7,1,2,0,19,12,win_A,UD,98,92,96,94,96,94
33,28,173,165,175,177,orthodox,orthodox,,133,34,23,7,1,2,1,19,11,win_A,UD,98,92,97,93,97,93
26,33,174,173,179,175,orthodox,orthodox,129,129,20,34,0,6,0,2,12,19,win_A,SD,112,116,117,111,117,111
32,29,173,175,175,183,orthodox,orthodox,132,,33,21,6,3,2,0,18,16,win_A,KO,,,,,,
32,34,173,178,175,169,orthodox,orthodox,,,32,31,6,6,2,1,17,24,win_A,TKO,,,,,,
31,36,173,,175,,orthodox,orthodox,134,134,31,14,6,8,2,4,17,6,win_A,UD,79,73,77,75,78,74
31,30,173,173,188,175,orthodox,orthodox,,,26,30,4,6,0,2,15,16,win_B,TKO,,,,,,
29,30,173,170,175,175,orthodox,orthodox,132,132,29,19,6,13,2,1,16,7,win_A,MD,99,91,97,93,95,95
29,23,173,175,175,180,orthodox,orthodox,130,130,28,13,6,4,2,1,16,5,win_A,UD,77,74,76,75,76,75
28,36,173,173,175,178,orthodox,orthodox,131,132,27,12,6,18,2,0,15,9,win_A,TKO,10,8,10,8,10,8
27,30,173,,175,,orthodox,orthodox,,,26,15,6,2,2,0,14,6,win_A,KO,,,,,,
27,25,173,,175,,orthodox,orthodox,,132,25,14,6,4,2,1,13,9,win_A,TKO,,,,,,
27,29,173,,175,,orthodox,orthodox,134,,24,9,6,7,2,0,12,4,win_A,TKO,,,,,,
25,26,168,173,175,175,orthodox,orthodox,,,22,24,0,5,0,2,11,12,win_A,UD,118,109,117,110,119,109
35,25,164,173,174,175,southpaw,southpaw,,,42,23,5,5,1,2,18,11,win_B,KO,,,,,,
25,22,173,170,175,185,orthodox,orthodox,134,134,22,17,5,2,2,1,10,5,win_A,TKO,,,,,,
24,21,173,170,175,185,orthodox,orthodox,,,21,16,5,1,2,1,10,4,win_A,UD,98,92,96,94,96,94
26,24,173,173,180,175,orthodox,orthodox,,,21,21,1,4,0,2,5,10,win_A,UD,100,90,98,92,98,92
24,33,173,173,175,178,orthodox,orthodox,135,135,20,30,4,5,2,2,9,22,win_A,TKO,,,,,,
23,25,173,157,175,157,orthodox,orthodox,,133,19,20,4,0,2,0,8,13,win_A,TKO,,,,,,
25,23,178,173,188,175,orthodox,orthodox,,,21,19,1,3,0,2,12,8,win_A,UD,117,110,115,112,114,113
23,28,173,175,175,183,orthodox,orthodox,,,18,22,3,8,2,0,7,14,win_A,KO,,,,,,
22,41,173,,175,,orthodox,orthodox,,136,17,46,3,37,2,4,7,23,win_A,UD,79,73,79,73,78,74
34,22,175,173,180,175,southpaw,southpaw,,,36,17,6,2,3,2,8,7,win_A,SD,113,114,114,113,116,111
22,32,173,170,175,168,orthodox,orthodox,133,135,16,30,2,5,2,1,7,26,win_A,MD,,,,,,
22,32,173,165,175,173,orthodox,orthodox,,,15,21,2,8,2,6,6,15,win_A,TKO,,,,,,
21,29,173,173,175,,orthodox,orthodox,,135,14,23,2,3,2,0,5,16,win_A,KO,,,,,,
21,33,173,166,175,175,orthodox,orthodox,,,13,16,2,17,2,4,5,8,win_A,UD,100,87,100,87,100,88
21,34,173,163,175,,orthodox,orthodox,133,135,12,18,2,17,2,1,5,15,win_A,UD,,,,,,
21,25,173,178,175,,orthodox,orthodox,136,136,11,9,2,3,2,2,4,7,win_A,TKO,,,,,,
